,runtime,has_tagline,release_year,release_month,is_indie,log_budget,is_mid_budget,is_summer,is_holiday,is_dump_month,month_sin,month_cos,decade,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_Thriller,genre_War,genre_Western,is_franchise_genre,is_drama_only,has_superhero,has_sequel,has_imax,has_3d,has_franchise,has_dystopia,has_novel_adaptation,has_independent,tagline_length,tagline_word_count,is_english,director_film_count,director_median_revenue,actor1_median_revenue,is_top_director,is_top_actor,is_unknown_director,is_major_studio,studio_count,is_co_production,is_long_film,is_short_film
2157,-0.3992851855465325,1,0.21364923858831894,0.9035169962443892,0,0.11013069672617867,1,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7146590262998157,1.4429225777382768,1,0.6511911337662325,3.2231074121942944,0.13958518140556025,0,0,0,1,-0.05359360505278807,1,0,0
1114,-0.5928292218340901,1,-0.2576203273251764,-0.866338333422427,0,-0.5033366757122081,0,0,0,0,1.3372865171545167,-0.7238168421076542,-0.6052315553367766,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09426584966955,0.2240676025959998,1,-0.08581954116253038,-0.15462840882051354,-0.9292914795499093,0,0,0,0,-0.94710618849287,0,0,0
3791,0.5200489868193666,1,-4.577591348198884,-1.16131422170023,0,-0.924170952363568,0,0,0,0,1.5261170757383973,-0.009327447026668153,-4.404335655703746,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.08251530277662661,0.8334950901671383,1,-0.33148976613878467,0.8252474211302253,-0.6415905273735882,0,0,0,0,-0.94710618849287,0,0,0
2776,-0.5444432127622008,1,-0.5718000379341733,-1.16131422170023,0,0.2238303540105665,0,0,0,0,1.5261170757383973,-0.009327447026668153,-0.6052315553367766,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.48689493227797503,0.6303525943100922,1,-0.5771599911150389,-0.5811840172650078,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,0
1172,-0.689601239977869,1,0.5278289491973158,0.6085411079665866,0,0.5770137539833209,0,0,0,1,-1.2927838788882173,-0.009327447026668503,0.15458926473661724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1.09426584966955,1.2397800818812306,1,-0.08581954116253038,-0.2668490068505369,0.2734999772039439,0,0,0,0,-0.500349896772829,1,0,0
156,1.245839122897708,1,0.920553587458562,0.9035169962443892,0,0.7336882612251326,0,0,0,0,-1.1039533203043368,0.7051619480543181,0.9144100848100111,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.5380434908203079,-0.5885023808321848,1,0.40552090878997815,0.5121966520518129,0.721335254109268,0,0,0,1,1.2866752701073347,1,1,0
3658,-0.8831452762654267,0,-0.021985544368428755,-0.2763865568668217,0,-0.016469291921565533,1,1,0,0,0.11666659842509014,-1.4383062371886408,0.15458926473661724,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.8228302160912931,-0.45081000205104355,-0.49500952891680766,0,0,0,1,-0.500349896772829,1,0,0
3657,-1.2702333488405422,1,0.44928402154506664,0.9035169962443892,0,0.11013069672617867,1,0,0,0,-1.1039533203043368,0.7051619480543181,0.15458926473661724,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1072881089082406,0.020925106738953654,1,0.1598506838137239,0.40036605711880563,-0.49500952891680766,0,0,0,0,-0.94710618849287,0,0,0
204,-0.44767119461842186,1,0.6063738768495651,1.198492884522192,0,1.4170645919665585,0,0,1,0,-0.5880586402315643,1.2282044867227522,0.9144100848100111,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.1072881089082406,-0.1822173891180925,1,-0.8228302160912931,-0.45081000205104355,2.9296940180541458,0,0,0,1,-0.500349896772829,1,0,0
2677,0.37489095960369834,0,-1.3572493144566657,1.4934687727999947,0,-0.8565200009530416,0,0,1,0,0.11666659842508961,1.4196513431353042,-1.3650523754101704,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.411139184570697,-1.4010723642603695,1,-0.08581954116253038,-0.7174749478919045,-0.4270343451226408,0,0,0,0,-0.05359360505278807,1,0,0
